0.00582,0.743,238373,0.339,0,1,0.0812,-7.678,1,0.409,203.927,4,0.118,44
0.0244,0.846,214800,0.557,0,8,0.286,-7.259,1,0.457,159.009,4,0.371,10
0.025,0.603,138913,0.723,0,9,0.0824,-5.89,0,0.0454,114.966,4,0.382,63
0.0294,0.8,125381,0.579,0.912,5,0.0994,-12.118,0,0.0701,123.003,4,0.641,9
3.52E-05,0.783,124016,0.792,0.878,7,0.0332,-10.277,1,0.0661,120.047,4,0.928,8
0.00115,0.81,124016,0.417,0.919,9,0.106,-10.783,0,0.0793,120.025,4,0.837,8
0.000539,0.819,132742,0.72,0.863,4,0.0727,-8.895,0,0.151,124.003,4,0.934,8
0.115,0.885,181838,0.348,0,9,0.107,-12.569,1,0.451,142.111,4,0.18,10
5.84E-05,0.74,124016,0.472,0.847,8,0.0959,-9.008,1,0.0551,120.034,4,0.622,8
8.11E-05,0.813,132742,0.731,0.91,11,0.0727,-8.932,1,0.0697,124.031,4,0.944,7
0.000784,0.787,124016,0.83,0.784,1,0.0373,-10.457,1,0.162,119.988,4,0.896,7
0.000106,0.777,128016,0.865,0.812,7,0.0791,-12.181,1,0.117,119.979,4,0.695,7
0.000223,0.796,132742,0.698,0.919,10,0.0727,-8.86,0,0.0792,123.973,4,0.964,7
3.74E-05,0.815,134769,0.709,0.938,1,0.0892,-10.666,1,0.0779,122.001,4,0.489,7
1.35E-05,0.799,124016,0.573,0.915,0,0.0782,-9.83,1,0.0576,120.079,4,0.766,7
7.42E-05,0.812,134769,0.581,0.914,1,0.0892,-11.598,1,0.0874,121.994,4,0.503,7
0.000851,0.811,124016,0.709,0.929,7,0.0628,-10.885,1,0.0504,120.007,4,0.653,7
0.0315,0.746,127727,0.645,0.966,1,0.134,-16.615,0,0.0532,124.032,4,0.0359,7
0.000256,0.813,134769,0.598,0.891,8,0.0892,-11.058,1,0.0874,122.01,4,0.623,7
9.10E-06,0.812,124016,0.504,0.944,1,0.0848,-11.006,1,0.055,120.014,4,0.585,7
0.000428,0.814,134769,0.824,0.738,9,0.0771,-8.98,0,0.0846,122.011,4,0.591,6
0.000133,0.813,134769,0.703,0.927,1,0.0892,-11.562,1,0.0968,121.984,4,0.503,6
7.01E-05,0.81,124016,0.537,0.932,2,0.0745,-9.894,1,0.0762,120.036,4,0.523,6
6.66E-06,0.806,128016,0.587,0.896,7,0.243,-10.057,1,0.0607,120.018,4,0.616,6
3.85E-05,0.812,125381,0.454,0.917,4,0.0696,-9.331,0,0.0965,123.014,4,0.281,6
0.0018,0.802,131016,0.695,0.915,6,0.109,-7.382,0,0.0622,119.989,4,0.316,6
0.0016,0.822,132742,0.789,0.774,0,0.0727,-8.783,1,0.124,123.972,4,0.923,6
0.00053,0.809,124016,0.629,0.937,8,0.0788,-10.081,1,0.0605,119.99,4,0.502,6
0.000452,0.806,124016,0.463,0.938,6,0.0605,-10.788,0,0.299,119.985,4,0.684,6
6.96E-05,0.812,125381,0.452,0.897,5,0.097,-9.312,0,0.0632,123.042,4,0.499,6
2.66E-05,0.81,148016,0.94,0.917,10,0.0351,-9.391,0,0.0543,120.022,4,0.444,6
0.000728,0.813,125381,0.572,0.89,2,0.0864,-9.564,1,0.0871,123.025,4,0.673,6
0.000358,0.759,124016,0.855,0.802,5,0.0489,-12.001,0,0.0614,119.901,4,0.808,6
7.69E-05,0.81,148016,0.948,0.894,10,0.0509,-9.367,0,0.0569,119.988,4,0.754,6
0.0108,0.807,124016,0.615,0.918,4,0.0812,-11.519,0,0.111,120.006,4,0.603,6
3.22E-05,0.793,124016,0.538,0.827,7,0.0569,-9.82,1,0.0744,119.99,3,0.592,6
5.11E-05,0.812,124016,0.511,0.907,5,0.0618,-10.903,0,0.0927,119.987,4,0.618,5
4.36E-05,0.809,124016,0.604,0.923,1,0.0524,-10.482,1,0.0874,120.046,4,0.713,5
0.00295,0.808,124893,0.53,0.494,11,0.108,-10.356,0,0.0503,122.995,4,0.744,5
0.00025,0.812,124944,0.778,0.865,6,0.0975,-8.429,1,0.0458,123.05,4,0.683,5
0.0958,0.548,127485,0.722,0.859,9,0.169,-10.046,0,0.0335,122.585,4,0.746,14
0.125,0.821,254122,0.512,0.00703,5,0.0879,-7.138,0,0.0596,128.035,4,0.543,37
0.0448,0.574,189467,0.881,0,5,0.0756,-2.15,0,0.166,126.131,4,0.551,32
0.00117,0.854,132742,0.741,0.863,9,0.0727,-8.298,1,0.149,124.027,4,0.911,5
0.409,0.574,171000,0.463,0.000264,11,0.118,-23.058,0,0.0499,159.988,4,0.993,5
0.832,0.699,168000,0.309,0.171,4,0.116,-10.79,1,0.159,79.991,4,0.422,29
0.209,0.709,184546,0.576,2.66E-06,9,0.152,-8.727,1,0.427,78.706,4,0.318,36
0.13,0.572,186566,0.867,0,5,0.321,-6.148,0,0.386,88.148,5,0.376,24
0.925,0.611,217466,0.238,3.91E-06,11,0.123,-11.93,1,0.0356,122.047,4,0.248,40
0.0617,0.935,171383,0.756,7.60E-06,4,0.12,-6.957,1,0.084,112.045,4,0.961,48
0.122,0.552,241160,0.789,4.98E-06,9,0.0874,-5.449,1,0.0242,93.938,4,0.349,53
0.52,0.53,229333,0.521,0.0289,8,0.209,-7.939,0,0.152,117.259,3,0.529,37
0.00593,0.867,109056,0.517,0,2,0.131,-10.482,1,0.253,130.033,4,0.179,39
2.62E-05,0.121,226906,0.982,0.0187,6,0.641,-0.447,1,0.135,75.075,4,0.228,41
0.157,0.686,210005,0.873,3.10E-06,9,0.15,-4.721,1,0.245,90.013,4,0.386,39
0.00432,0.858,217371,0.698,0.377,0,0.18,-8.124,1,0.16,122.999,4,0.734,48
0.774,0.523,258255,0.615,2.01E-05,0,0.365,-8.136,1,0.0361,95.087,4,0.637,40
0.167,0.57,245596,0.556,0,10,0.0868,-8.139,1,0.0894,158.153,4,0.691,39
0.0198,0.713,185969,0.937,0,5,0.57,-2.107,1,0.131,125.969,4,0.728,47
0.0393,0.751,223000,0.512,3.29E-05,11,0.267,-6.789,0,0.056,160.016,4,0.335,28
0.0271,0.89,200168,0.454,3.58E-06,8,0.157,-8.777,1,0.26,140.041,4,0.425,65
0.558,0.446,211304,0.383,0.00214,1,0.111,-10.309,1,0.0647,74.953,3,0.0585,4
0.539,0.733,167920,0.489,0.00019,8,0.102,-9.538,1,0.306,139.949,4,0.689,19
0.0978,0.404,198553,0.926,0,4,0.102,-4.986,0,0.734,85.96,4,0.211,30
0.0922,0.75,215867,0.715,8.86E-06,9,0.395,-5.873,1,0.101,117.989,4,0.333,19
0.927,0.336,102570,0.294,0.968,8,0.0965,-15.374,1,0.033,141.452,4,0.156,34
0.239,0.914,184130,0.565,0,9,0.101,-5.1,1,0.389,133.021,4,0.681,41
0.00361,0.942,152655,0.736,0,2,0.106,-6.058,1,0.268,140.025,4,0.833,41
0.000129,0.372,440952,0.813,0.937,9,0.289,-11.142,0,0.0327,131.999,4,0.118,29
0.000215,0.435,277098,0.796,0.887,2,0.407,-12.252,1,0.0687,132.049,4,0.106,32
3.55E-05,0.489,172244,0.932,0.125,2,0.294,-10.371,1,0.0432,132.003,4,0.62,25
0.000426,0.441,151900,0.472,0.0019,6,0.115,-12.172,0,0.0363,131.964,4,0.0655,24
